TAX.MORPHON;N;feeding.type;AvgMass;StDevMass
Achromadora;22;fungivorous;0,0479839488636364;0,0323757766358552
Acrobeles;216;bacterivorous;0,224418625578704;0,170055138017932
Acrobeloides;866;bacterivorous;0,0993739917725173;0,0680120512484007
Aglenchus;474;herbivorous;0,120667022679325;0,0616853661027272
Alaimus;70;bacterivorous;0,196700830357143;0,204465356410285
Amphidelus;2;bacterivorous;0,05864;0,0587181471097309
Amplimerlinius;74;herbivorous;1,30229581081081;1,33158782351122
Anaplectus;638;bacterivorous;0,390519227076803;0,439562171502686
Anatonchus;23;predatory;2,8340664673913;3,48186005381465
Aphelenchoides;1102;fungivorous, herbivorous;0,0584628102313975;0,0791663178567194
Aphelenchus;111;fungivorous, herbivorous;0,129949566441441;0,149467486171642
Aporcelaimellus;298;predatory, omnivorous;3,88528593959732;4,05555428179771
Bastiania;15;bacterivorous;0,0825647083333333;0,0550096071387492
Bitylenchus;814;herbivorous;0,478984847972973;0,373437619439859
Boleodorus;1;herbivorous, fungivorous;0,050625;NA
Bunonema;3;bacterivorous;0,063178125;0,0587591377966813
Cephalobidae;54;bacterivorous;0,0703332986111111;0,0626898084287124
Cephalobus;5;bacterivorous;0,24487875;0,0759898743396016
Cervidellus;93;bacterivorous;0,0659197849462366;0,0305596271091127
Chiloplacus;6;bacterivorous;0,212587395833333;0,205417246109297
Chromadoridae;2;bacterivorous, fungivorous;0,07208125;0,00399692108065696
Chronogaster;12;bacterivorous;0,0461394270833333;0,0234772803049141
Clarkus;23;predatory;1,01388945652174;1,11885296988371
Coslenchus;11;herbivorous;0,127975227272727;0,039783071154576
Criconematidae;35;herbivorous;0,233277732142857;0,147689777331391
Cuticularia;2;bacterivorous;0,0656946875;0,0144855243543447
Dauerlarvae;2319;bacterivorous;0,185926051099612;0,151626801874654
Diphtherophora;22;fungivorous;0,136175596590909;0,118076729920487
Diploscapter;13;bacterivorous;0,0861855769230769;0,0611029030214378
Discolaimus;1;predatory;5,2446575;NA
Ditylenchus;15;fungivorous, herbivorous;0,0866065;0,0526617333642403
Dolichodoridae;214;herbivorous;0,156772949766355;0,181381050827396
Dolichorhynchus;31;herbivorous;0,693617439516129;0,3886546345163
Dorydorella;2;omnivorous;0,421535;0,0466195500836291
Dorylaimellus;1;herbivorous, fungivorous;0,315625;NA
Dorylaimoides;671;omnivorous;0,468614277198212;0,975128222749154
Ecumenicus;3;omnivorous;0,694379166666667;0,0953062715779153
Epidorylaimus;10;omnivorous;1,3086388125;0,725704510856439
Eucephalobus;4275;bacterivorous;0,15534671871345;0,119210315158325
Eudorylaimus;34;predatory, omnivorous;1,70063619485294;1,88737940307044
Eumonhystera;69;bacterivorous, detrivorous;0,0665135869565217;0,0428864731943508
Filenchus;350;herbivorous;0,09967475;0,102069818246299
Helicotylenchus;1059;herbivorous;0,218768264872521;0,137254356729229
Hemicycliophora;7;herbivorous;0,815759375;0,658323026927467
Heterocephalobus;17;bacterivorous;0,347862573529412;0,114080442331937
Heterodera;210;herbivorous;0,139552318452381;0,0510840155470772
Hoplolaimidae;12;herbivorous;0,18512453125;0,295196717322857
Longidorus;49;herbivorous;3,65256911989796;3,07976942845861
Malenchus;58;herbivorous;0,066831099137931;0,0451433434091585
Meloidogyne;742;herbivorous;0,0677105803571429;0,0305679665269577
Mesodorylaimus;21;omnivorous;1,6393625297619;0,974288217450699
Metateratocephalus;90;bacterivorous;0,0363729375;0,0249344408393409
Monhysteridae;7;bacterivorous, predatory;0,0356845535714286;0,0188905204529582
Mononchidae;35;bacterivorous, predatory;0,843009267857143;1,59913993652157
Mononchus;34;predatory;0,957786470588235;1,80369653015487
Mylonchulus;24;predatory;0,325850234375;0,426115613256383
Neodiplogasteridae;397;bacterivorous, predatory, fungivorous;0,0927863664987406;0,112520277931878
Nordiidae;2;predatory, omnivorous;2,63986875;1,55829540787462
Odontolaimus;1;bacterivorous, fungivorous;0,1447875;NA
Panagrolaimus;913;bacterivorous;0,17632063458379;0,196515865520966
Paramphidelus;19;bacterivorous;0,130129243421053;0,155071919688973
Paratrichodorus;32;herbivorous;0,3051248828125;0,19978369815673
Paratylenchus;422;herbivorous;0,0664681368483412;0,0293252083458481
Plectus;949;bacterivorous;0,319203090753425;0,550633357989678
Pleurotylenchus;1;herbivorous;0,029875;NA
Pratylenchus;753;herbivorous;0,0810520194223108;0,0606887926754663
Prionchulus;1;predatory;5,14709;NA
Prismatolaimus;152;bacterivorous;0,0687765090460526;0,0726679839724942
Prodorylaimus;22;omnivorous;0,511769801136364;0,365995100458581
Psilenchus;59;herbivorous;0,152399788135593;0,159143613425152
Pungentus;35;herbivorous, predatory, omnivorous;1,41333098214286;1,01385000801124
Qudsianematidae;82;predatory, omnivorous;0,604398544207317;0,697021164241987
Quinisulcius;2;herbivorous;0,2660278125;0,0521911095776408
Rhabditidae;3766;bacterivorous;0,298272652681891;0,520347537174873
Rotylenchus;98;herbivorous;0,419106945153061;0,473372181491497
Seinura;13;predatory;0,0688712019230769;0,0259117192865355
Teratocephalus;213;bacterivorous;0,0382154694835681;0,0630141638363967
Theristus;3;bacterivorous, detrivorous, fungivorous;0,317827708333333;0,408147786433349
Thonus;7;predatory, omnivorous;2,22824348214286;2,12418193478337
Thornenematidae;85;omnivorous;0,563997066176471;0,82033883730736
Thornia;4;omnivorous;1,5255140625;0,407789029709521
Trichodorus;78;herbivorous;0,250799623397436;0,211106427834289
Tripyla;143;predatory;0,755728299825175;0,866337877177793
Trophurus;2;herbivorous;0,5395265625;0,121232131809219
Tylenchidae;4138;herbivorous, fungivorous;0,0814546352404543;0,0844619045071253
Tylencholaimus;17;fungivorous;0,163380845588235;0,148070784396827
Tylenchorhynchus;1596;herbivorous;0,156968352130326;0,149579742462213
Tylenchus;26;herbivorous, fungivorous;0,0510069951923077;0,0144502379446448
Tylolaimophorus;106;fungivorous;0,216191698113208;0,156080778570973
Wilsonema;43;bacterivorous;0,0437135901162791;0,0227222541437302
Xiphinema;5;herbivorous;7,494549875;0,918350427805246
